Tipo NI;CNPJ;Período de Apuração;Data de Transmissão;Hora Transmissão;Categoria;Origem;Tipo;Situação;Débito Apurado;Saldo a Pagar
CNPJ;7,55046E+12;01/08/2025;16/09/2025;09:10:09;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 216.336,69;R$ 216.074,52
CNPJ;7,55046E+12;01/07/2025;03/09/2025;10:48:19;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 313.141,63;R$ 312.974,80
CNPJ;7,55046E+12;01/06/2025;06/08/2025;14:03:41;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 294.943,04;R$ 113.080,30
CNPJ;7,55046E+12;01/05/2025;11/07/2025;10:53:39;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 207.717,53;R$ 207.587,53
CNPJ;7,79008E+12;01/08/2025;17/09/2025;09:10:05;Geral;MIT;Original;Ativa;R$ 118,54;R$ 118,54
CNPJ;7,79008E+12;01/06/2025;17/07/2025;11:33:37;Geral;MIT;Original;Ativa;R$ 453,31;R$ 453,31
CNPJ;7,79008E+12;01/05/2025;10/06/2025;09:58:27;Geral;MIT;Original;Ativa;R$ 154,29;R$ 154,29
CNPJ;7,7208E+12;01/09/2025;03/10/2025;13:08:22;Geral;eSocial;Retificadora;Ativa;R$ 7.974,55;R$ 6.715,46
CNPJ;7,7208E+12;01/08/2025;04/09/2025;10:24:20;Geral;eSocial;Retificadora;Ativa;R$ 8.061,26;R$ 7.736,26
CNPJ;7,7208E+12;01/07/2025;05/08/2025;08:51:11;Geral;eSocial;Original;Ativa;R$ 8.964,44;R$ 8.505,26
CNPJ;7,7208E+12;01/06/2025;01/07/2025;16:54:04;Geral;eSocial;Original;Ativa;R$ 7.404,58;R$ 6.923,38
CNPJ;7,7208E+12;01/05/2025;03/06/2025;16:09:52;Geral;eSocial;Original;Ativa;R$ 7.258,69;R$ 4.239,86
CNPJ;7,71777E+12;01/09/2025;09/10/2025;14:01:27;Geral;eSocial;Original;Ativa;R$ 15.460,91;R$ 15.460,91
CNPJ;7,71777E+12;01/08/2025;08/09/2025;09:06:26;Geral;eSocial, REINF CP;Original sem movimento;Ativa;R$ 0,00;R$ 0,00
CNPJ;8,27516E+12;01/06/2025;14/07/2025;12:42:58;Geral;eSocial;Original sem movimento;Ativa;R$ 0,00;R$ 0,00
CNPJ;8,27516E+12;01/05/2025;11/06/2025;17:19:07;Geral;eSocial;Original sem movimento;Ativa;R$ 0,00;R$ 0,00
CNPJ;8,24896E+12;01/09/2025;03/10/2025;10:45:52;Geral;eSocial;Original;Ativa;R$ 2.271,84;R$ 2.271,84
CNPJ;8,24896E+12;01/08/2025;04/09/2025;10:39:54;Geral;eSocial;Original;Ativa;R$ 2.538,50;R$ 2.538,50
CNPJ;8,24896E+12;01/07/2025;05/08/2025;12:29:24;Geral;eSocial;Original;Ativa;R$ 2.766,01;R$ 2.766,01
CNPJ;8,24896E+12;01/06/2025;01/07/2025;17:06:57;Geral;eSocial;Original;Ativa;R$ 2.668,47;R$ 2.668,47
CNPJ;8,24896E+12;01/05/2025;03/06/2025;14:59:19;Geral;eSocial;Original;Ativa;R$ 2.392,31;R$ 2.392,31
CNPJ;7,79912E+12;01/08/2025;03/09/2025;18:00:33;Geral;eSocial;Original;Ativa;R$ 104.822,50;R$ 104.822,50
CNPJ;7,79912E+12;01/07/2025;18/08/2025;14:06:10;Geral;eSocial, REINF CP, REINF RET, MIT;Retificadora;Ativa;R$ 386.181,14;R$ 386.181,14
CNPJ;7,79912E+12;01/06/2025;24/07/2025;20:44:30;Geral;eSocial, MIT;Retificadora;Ativa;R$ 171.157,23;R$ 130.322,67
CNPJ;7,79912E+12;01/05/2025;20/06/2025;14:18:34;Geral;eSocial, REINF RET;Retificadora;Ativa;R$ 119.765,63;R$ 43.856,00
CNPJ;9,38987E+12;01/09/2025;03/10/2025;14:48:51;eSocial, REINF RET;eSocial, REINF RET;Retificadora;Ativa;R$ 17.068,41;R$ 17.068,41
CNPJ;9,38987E+12;01/07/2025;24/09/2025;12:03:38;Geral;eSocial, REINF RET;Retificadora;Ativa;R$ 17.749,15;R$ 17.749,15
CNPJ;9,38987E+12;01/06/2025;08/07/2025;10:47:17;Geral;eSocial, REINF RET;Retificadora;Ativa;R$ 18.106,52;R$ 18.106,52
CNPJ;9,38987E+12;01/05/2025;24/06/2025;12:06:48;Geral;eSocial, REINF RET;Retificadora;Ativa;R$ 16.535,99;R$ 16.535,99
CNPJ;9,26136E+12;01/09/2025;10/10/2025;12:13:29;Geral;eSocial;Original;Ativa;R$ 4.723,08;R$ 4.723,08
CNPJ;9,26136E+12;01/08/2025;09/09/2025;17:24:19;Geral;eSocial;Original;Ativa;R$ 4.762,81;R$ 4.762,81
CNPJ;9,26136E+12;01/07/2025;12/08/2025;15:47:53;Geral;eSocial;Original;Ativa;R$ 4.674,57;R$ 4.674,57
CNPJ;9,26136E+12;01/06/2025;09/07/2025;18:18:51;Geral;eSocial;Original;Ativa;R$ 4.603,99;R$ 4.603,99
CNPJ;9,26136E+12;01/05/2025;11/06/2025;15:59:54;Geral;eSocial;Original;Ativa;R$ 4.621,63;R$ 4.621,63
CNPJ;9,10442E+12;01/08/2025;16/09/2025;10:54:15;Geral;eSocial, REINF RET, MIT;Retificadora;Ativa;R$ 16.674,62;R$ 16.674,62
CNPJ;9,10442E+12;01/07/2025;17/08/2025;21:14:49;Geral;eSocial, MIT;Retificadora;Ativa;R$ 17.477,87;R$ 17.477,87
CNPJ;9,10442E+12;01/06/2025;22/07/2025;08:02:06;Geral;eSocial, MIT;Retificadora;Ativa;R$ 118.628,61;R$ 118.628,61
CNPJ;9,10442E+12;01/05/2025;11/06/2025;11:29:14;Geral;eSocial, MIT;Retificadora;Ativa;R$ 14.176,95;R$ 14.176,95
CNPJ;1,02036E+13;01/08/2025;04/09/2025;10:56:49;Geral;eSocial;Original;Ativa;R$ 3.064,60;R$ 3.064,60
CNPJ;1,02036E+13;01/06/2025;01/07/2025;17:18:59;Geral;eSocial;Original;Ativa;R$ 3.321,84;R$ 3.256,84
CNPJ;1,02036E+13;01/05/2025;03/06/2025;12:42:44;Geral;eSocial;Original;Ativa;R$ 3.718,82;R$ 3.653,82
CNPJ;1,01981E+13;01/09/2025;02/10/2025;17:57:57;Geral;eSocial;Original;Ativa;R$ 2.221,87;R$ 2.091,87
CNPJ;1,01981E+13;01/08/2025;03/09/2025;13:30:16;Geral;eSocial;Original;Ativa;R$ 2.307,10;R$ 2.177,10
CNPJ;1,01981E+13;01/07/2025;05/08/2025;09:15:42;Geral;eSocial;Original;Ativa;R$ 2.259,10;R$ 2.129,10
CNPJ;1,01981E+13;01/06/2025;01/07/2025;15:39:06;Geral;eSocial;Original;Ativa;R$ 2.112,91;R$ 1.982,91
CNPJ;1,01981E+13;01/05/2025;03/06/2025;15:43:51;Geral;eSocial;Original;Ativa;R$ 2.093,05;R$ 1.963,05
CNPJ;9,47168E+12;01/08/2025;22/09/2025;22:16:09;eSocial, REINF CP, REINF RET, MIT;eSocial, REINF CP, REINF RET, MIT;Retificadora;Ativa;R$ 75.453,51;R$ 75.453,51
CNPJ;9,47168E+12;01/07/2025;20/08/2025;19:46:27;eSocial, REINF CP, REINF RET, MIT;eSocial, REINF CP, REINF RET, MIT;Retificadora;Ativa;R$ 65.376,21;R$ 44.586,21
CNPJ;9,47168E+12;01/06/2025;25/07/2025;14:19:35;eSocial, REINF CP, REINF RET, MIT;eSocial, REINF CP, REINF RET, MIT;Retificadora;Ativa;R$ 245.456,40;R$ 245.456,40
